name,conn_Ni,conn_YSZ,conn_Pore,total_tpb,active_tpb,active_tpb_frac,tau_Ni,tau_YSZ,tau_Pore
structure_0001,0.9990645312172385,0.9996921157320758,0.0,0.2770233154296875,0.0,0.0,2.2502055168151855,2.1902313232421875,nan
structure_0002,0.9946384027983524,0.9993940920571596,0.0,0.2043914794921875,0.0,0.0,2.4770803451538086,1.5886030197143555,nan
structure_0003,0.9894525311842736,0.9998679187134025,0.0,0.12294769287109374,0.0,0.0,2.3208866119384766,1.3775142431259155,nan
structure_0004,0.9994361452841242,0.9964880517412501,0.0,0.39363861083984375,0.0,0.0,1.9752751588821411,2.8613972663879395,nan
structure_0005,0.999462184391874,0.9950151307880446,0.0,0.38120269775390625,0.0,0.0,1.9015870094299316,2.6531453132629395,nan
structure_0006,0.9988678308880549,0.9957566016073479,0.0,0.42724609375,0.0,0.0,2.173536777496338,2.7467336654663086,nan
structure_0007,0.9961491673308445,0.9999708435684557,0.0,0.13813018798828125,0.0,0.0,2.334949254989624,2.1463775634765625,nan
structure_0008,0.9972139840028759,0.9977198343389846,0.0,0.30506134033203125,0.0,0.0,2.202993869781494,1.959398865699768,nan
structure_0009,0.9954888701547955,0.9985209299034005,0.0,0.19489288330078125,0.0,0.0,2.2540862560272217,1.6573542356491089,nan
structure_0010,0.9885878287155363,0.9991152884646602,0.3445751263520854,0.2865982055664062,0.07846832275390625,0.273792093704246,1.8372656106948853,1.76777184009552,14.781821250915527
structure_0011,0.9978715073141836,0.9999935150418604,0.0,0.17078399658203125,0.0,0.0,2.307231903076172,1.4997742176055908,nan
structure_0012,0.9982603977145775,0.9993745188606621,0.0,0.28369903564453125,0.0,0.0,1.8306918144226074,2.5192151069641113,nan
structure_0013,0.9982740548677169,0.9974132697502134,0.0,0.31970977783203125,0.0,0.0,1.872493863105774,2.1544713973999023,nan
structure_0014,0.9945314603507664,1.0,0.0,0.19199371337890625,0.0,0.0,2.464385986328125,1.8402248620986938,nan
structure_0015,0.9975576812774067,0.9997875009425361,0.0,0.12390136718749999,0.0,0.0,2.3004767894744873,1.6714451313018799,nan
structure_0016,0.9996317228289352,0.9983173866725077,0.0,0.31776428222656244,0.0,0.0,1.9950350522994995,2.8208956718444824,nan
structure_0017,0.9965026362038665,0.999438137386954,0.7847874477441772,0.242919921875,0.11997222900390625,0.4938756281407035,3.269846200942993,2.137155771255493,33.77776336669922
structure_0018,0.9997484946666075,0.9950232684911318,0.0,0.38394927978515625,0.0,0.0,1.9847337007522583,3.8325436115264893,nan
structure_0019,0.9981146548616951,0.9996263307720006,0.0,0.21350860595703125,0.0,0.0,1.780565857887268,1.4002724885940552,nan
structure_0020,0.9982278913706406,0.9999490364243956,0.0,0.19454956054687497,0.0,0.0,3.1239845752716064,2.00783371925354,nan
